id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
12944416,https://www.airbnb.com/rooms/12944416,"Massachusetts Avenue, Lux 1bd in Central Sq",https://a0.muscache.com/im/pictures/e7caabac-6d49-49c5-b824-c2f28e7d5497.jpg?aki_policy=large,42.36366,-71.10392,2,2,194,0,4,95,0.08,91
12985396,https://www.airbnb.com/rooms/12985396,"Central Square Cambridge luxury 2 bed, 2 Bath",https://a0.muscache.com/im/pictures/b9b9327c-03d0-4c3a-8289-f00dbb655d28.jpg?aki_policy=large,42.36079,-71.10242,4,3,200,0,63,99,1.29,30
13002717,https://www.airbnb.com/rooms/13002717,Typically Cambridge: Harvard/Porter,https://a0.muscache.com/im/pictures/1f5a59d8-3fba-4bef-af49-028b84895554.jpg?aki_policy=large,42.38338,-71.11674,1,1,75,20,27,99,0.54,3
13044207,https://www.airbnb.com/rooms/13044207,Welcoming Cambridgeport Condo,https://a0.muscache.com/im/pictures/9572165b-ce2a-43ac-8308-95c00f426690.jpg?aki_policy=large,42.35847,-71.1114,1,1,95,50,42,100,0.88,2
13055504,https://www.airbnb.com/rooms/13055504,Studio in Harvard Square Cambridge,https://a0.muscache.com/im/pictures/5e847682-ccc7-40e3-91d3-4465919eddd6.jpg?aki_policy=large,42.37164,-71.11098,2,1,110,150,9,96,0.18,91
13073921,https://www.airbnb.com/rooms/13073921,Beautiful private RM near Harvard,https://a0.muscache.com/im/pictures/70d56cce-7d68-44f5-add0-ebc99e690842.jpg?aki_policy=large,42.37779,-71.14975,2,1,89,15,23,97,0.49,1
13110608,https://www.airbnb.com/rooms/13110608,Cambridge Furnished Apartment 1 Bed 2 Baths.,https://a0.muscache.com/im/pictures/52629284-625f-46ff-b10b-526c9253534e.jpg?aki_policy=large,42.37113,-71.11067,2,1,115,150,1,100,0.03,91
13147180,https://www.airbnb.com/rooms/13147180,Urban Oasis Near MIT & Harvard,https://a0.muscache.com/im/pictures/91986f71-7cc8-41b8-a868-ef18ec61a94f.jpg?aki_policy=large,42.36345,-71.10153,2,1,175,85,38,98,0.77,32
13156403,https://www.airbnb.com/rooms/13156403,Cozy private RM near Harvard SQ,https://a0.muscache.com/im/pictures/f90988a4-c327-420c-8c67-fd774d49b16f.jpg?aki_policy=large,42.37781,-71.14974,2,1,89,15,11,100,0.23,1
13169945,https://www.airbnb.com/rooms/13169945,Sunny private RM near Harvard SQ,https://a0.muscache.com/im/pictures/eba36851-6cf3-4b28-b431-97e89918617a.jpg?aki_policy=large,42.37815,-71.1493,2,1,89,15,9,98,0.19,1
